"","ppid_trialn","pNum","radius","startingpos","rt","steering_rate","SWA","DiffYawRate_seconds","rotatedX","rotatedZ","frame","X","steeringbias","peak.sr","peak.swa","radius_scaled","startingpos_scaled"
"918","24_9_1000_0",9,1000,0,0.583333333333333,0.0274825046153846,0.089999931,0.0106876407575758,-3.21138692448431e-05,4.53375026617605,35,918,0.00930848985095018,0.0879020999184149,1.709999987,-1.22971533220284,-1.23182774516642
"919","24_9_1000_4",9,1000,4,0.35,0.024965034013986,0,0.00970862432634032,1.66221041469905e-06,6.66390826755953,21,919,0.0206675415758287,0.30398600388345,2.609999925,-1.22971533220284,-0.00963306154577855
"920","24_9_1500_0",9,1500,0,0.733333333333333,0.0237062976573427,0,0.0092191156969697,-6.43160358478889e-05,5.73329485431974,44,920,0.00898427847977917,0.10510489516317,1.350000221,0.0012127370140067,-1.23182774516642
"921","24_9_2000_8",9,2000,8,0.533333333333333,0.0499300681631701,0,0.0194172488088578,7.32929532082371e-06,12.1318851584852,32,921,0.0297469207069521,0.205804194037296,1.890000016,1.23214080623085,1.21256162207486
"922","25_1_1000_0",1,1000,0,0.416666666666667,0.0572727263426573,0,0.0222727268321678,-1.83603099040697e-05,3.20054482553931,25,922,0.00465406773123017,0.308391602251748,2.969999984,-1.22971533220284,-1.23182774516642
"923","25_1_1000_4",1,1000,4,0.466666666666667,0.0335664297435897,0,0.0130536115571095,2.23905345456687e-05,7.59972341559299,28,923,0.0269147900901696,0.542307677722611,5.489999894,-1.22971533220284,-0.00963306154577855
"924","25_1_1000_8",1,1000,8,0.416666666666667,0.033776227097902,0,0.0131351994219114,-1.83415909474349e-05,11.19998455002,25,924,0.0594385002918792,0.465944049610723,4.320000121,-1.22971533220284,1.21256162207486
"925","25_10_1000_0",10,1000,0,0.733333333333333,0.0660837718484849,-1.530000418,0.0256992445384615,-0.00163959307505759,5.7272307010108,44,925,0.0144464491220693,0.643426556645688,6.029999983,-1.22971533220284,-1.23182774516642
"926","25_10_1000_8",10,1000,8,0.5,0.0224474526153846,0,0.00872956485780884,7.18917253551832e-06,11.8656110455321,30,926,0.0669437957137091,0.266223732554779,6.659999415,-1.22971533220284,1.21256162207486
"927","25_10_1500_4",10,1500,4,2.85,0.162796876503497,-26.18999893,0.0633098958158507,-1.5076228942402,26.5648681581505,171,927,1.28146587584662,3.46972017738228,56.339998,0.0012127370140067,-0.00963306154577855
